date,activity id,type,calories burned,climb (m),duration(s),distance(m),speed(m/s)
2017-10-19 18:22:10,85c4573b-109d-404a-a3ba-a0d62bdb9ffc,Running,624.0,144,3041.0,8850.0,2.9083333333333337
2017-10-16 17:09:27,4d1cf5d9-cfc2-4020-892c-2deee6d125ed,Running,1045.0,215,4942.0,14900.0,3.0166666666666666
2017-10-10 18:24:47,a734675d-6dca-437e-8bbe-0aaec901a5f2,Running,570.0,126,2602.0,8039.999999999999,3.0916666666666672
2017-10-01 17:55:38,83409eae-5b76-47b8-89f0-db1e04801fc9,Running,886.0,174,4271.0,12760.0,2.9833333333333334
2017-09-28 18:20:48,acb25a0d-251b-4d39-86cd-63d49110d02e,Running,897.0,171,4027.0,12770.0,3.1472222222222226
2017-09-25 18:39:09,685a3715-03e9-42ad-af5f-4d08ae973c14,Running,896.0,169,3966.0,12750.0,3.1833333333333336
2017-09-19 16:24:08,01fad411-6664-4cda-826c-044d3ad9e2bf,Running,1247.0,257,5979.0,17770.0,2.9722222222222223
2017-09-07 18:44:44,c95ca273-6089-4f22-9292-b22e3c0a89a1,Running,603.0,88,2672.0,8500.0,3.1805555555555554
2017-09-05 18:34:21,5fb52c7a-0331-4382-9636-b9fca42a797f,Running,896.0,127,3966.0,12770.0,3.2111111111111112
2017-08-31 18:44:27,51fb7201-2bba-4611-b2af-6530343ebc88,Running,895.0,169,3966.0,12790.0,3.1972222222222224
2017-08-29 18:36:14,e7a75592-c649-4c99-96be-ec52d555beca,Running,901.0,127,4027.0,12700.0,3.125
2017-08-17 18:36:00,3c980f93-7aa1-477c-9f90-72ca01552031,Cycling,380.0,164,2404.0,15530.0,6.458333333333334
2017-08-16 19:00:40,3522a99f-e715-4a5b-93fe-a681bdef0ea1,Running,896.0,170,4027.0,12790.0,3.15
2017-08-14 18:01:38,e3f350ab-c7fa-42dd-8ccc-22162be34ab7,Running,893.0,171,4088.0,12770.0,3.1
2017-08-10 18:28:54,7b11bced-0b12-4e02-9717-09587f4c715f,Running,596.0,86,2628.0,8430.0,3.2055555555555553
2017-08-08 18:39:14,d5f7dd47-f709-437c-ac71-30e87ce7e7ab,Running,849.0,121,3577.0,12560.0,3.5111111111111115
2017-08-01 18:39:42,f116bf61-c409-448a-b80d-35de131c5afd,Running,589.0,83,2570.0,8400.0,3.2694444444444444
2017-07-19 18:50:31,ebe894be-7567-4b56-91ab-164554e20357,Running,891.0,170,4088.0,12800.0,3.1333333333333333
2017-07-10 18:26:02,8087a508-a36b-4bbd-bca3-cb458f855e9c,Running,880.0,124,3844.0,12600.0,3.2444444444444445
2017-07-05 18:53:40,2301d707-d4e3-461d-b6af-5ffff1b77dbf,Running,875.0,173,4027.0,12780.0,3.1388888888888893
2017-07-02 18:34:53,67d8bff0-657c-46ce-aa3a-4c6533e2f883,Running,714.0,130,3485.0,10250.0,2.941666666666667
2017-07-02 17:15:47,f6e2f233-cf73-4d68-9938-52231df7c56a,Running,938.0,248,4576.0,13390.0,2.922222222222222
2017-06-28 18:24:55,242d25a7-3f50-4e56-a351-59cbcf3f25fc,Running,883.0,171,4027.0,12700.0,3.1472222222222226
2017-06-21 18:42:29,1a03076f-c730-4d45-8415-b0fe189cc672,Running,885.0,175,4149.0,12720.0,3.055555555555556
2017-06-17 10:13:45,d4fccef8-c615-43a8-bf27-fa75bb200d13,Running,1048.0,247,5125.0,14870.0,2.891666666666667
2017-06-15 18:54:32,86cdd8ff-11c5-4c6a-b221-3e65a88cc136,Running,901.0,128,3966.0,12800.0,3.2194444444444446
2017-06-12 18:25:58,ba13aabc-d722-4803-9c1f-4e5043ecced6,Running,893.0,128,3905.0,12670.0,3.202777777777778
2017-06-01 19:00:16,7937624f-091c-4ba4-933f-15c22bf65c4a,Running,612.0,88,2728.0,8650.0,3.1694444444444447
2017-05-30 18:19:20,58569994-61c8-400c-a647-114e161ff8df,Running,584.0,85,2568.0,8420.0,3.277777777777778
2017-05-24 18:23:30,719a8602-3d87-471a-b74b-0621ea4c813d,Running,892.0,171,4149.0,12740.0,3.0416666666666665
2017-05-17 18:18:34,f53266a4-2f39-4c18-ad50-6fd60ab34285,Running,1000.0,128,4210.0,13820.0,3.2444444444444445
2017-05-15 18:25:55,8eef0492-ce75-4cd5-8de5-f94bb69ef4dc,Running,1177.0,167,5064.0,16830.0,3.3083333333333336
2017-05-10 18:40:04,0edf90b1-2417-413a-96b6-368d01df8677,Running,595.0,87,2604.0,8530.0,3.275
2017-05-03 18:32:01,f5dd15c6-ffbd-48e5-aa1c-3777ed5a97c7,Running,865.0,125,3844.0,12430.0,3.233333333333334
2017-05-01 17:38:35,9a5c1022-08f3-4c9b-9cc5-492d4d7178f9,Cycling,491.0,204,3269.0,20190.0,6.177777777777778
2017-04-25 18:44:32,51eb30dc-bc11-4296-bb7d-d40c83c60319,Running,606.0,86,2686.0,8680.0,3.230555555555556
2017-04-17 16:20:08,51ab838c-9266-436d-b26a-eb6b0d7c0fa5,Running,1060.0,222,4881.0,15000.0,3.0833333333333335
2017-04-13 19:04:16,48ea0a3a-4a02-4ee9-b310-8a367fd4e59d,Running,603.0,88,2781.0,8580.0,3.0833333333333335
2017-04-10 18:46:56,7263bbb0-934f-47a7-9d9e-f0a0816286be,Running,908.999999476416,122,4027.0,12720.0,3.1611111111111114
2017-04-06 19:07:46,344ece5a-187e-418e-9287-0e8a11a07643,Running,594.99999965728,87,2544.0,8650.0,3.402777777777778
2017-04-04 18:31:11,6b2ca811-ca43-42ed-9b08-8752d2ddac50,Running,612.999999646912,89,2758.0,8610.0,3.1222222222222222
2017-04-01 16:56:53,410ddb93-7109-4248-9ca6-86da1fdd311b,Running,955.999999449344,196,4454.0,13530.0,3.0166666666666666
2017-03-30 19:06:29,9a3ec53a-d6f2-4ba7-87e1-085edf2a8064,Running,606.999999650368,90,2813.0,8480.0,3.013888888888889
2017-03-28 19:13:23,0b6616e6-be34-4950-b04e-11f0deeca9ab,Running,611.999999647488,88,2724.0,8650.0,3.1750000000000003
2017-03-26 17:10:40,2c90030a-14cb-46e6-8152-646bccabe3b5,Running,1062.0,149,4881.0,14620.0,2.9750000000000005
2017-03-20 18:44:13,f7461f26-c148-430d-be37-c1ede0e57ec5,Running,1017.99999941363,99,4698.0,14420.0,3.055555555555556
2017-03-16 18:21:05,02eff545-2173-439c-afc3-d446e5802528,Running,489.9999997177599,67,2178.0,6800.0,3.1222222222222222
2017-03-13 18:34:11,a286c0fa-6876-491b-854a-c6d8813b4237,Running,839.99999951616,113,4027.0,12060.0,2.9916666666666667
2017-03-09 18:20:43,cfdbf8c5-6f66-4de4-af0b-afc5f5a8ab28,Running,675.9999996106241,81,3268.0,9520.0,2.913888888888889
2017-02-27 18:57:30,853911d0-7a12-456d-8e72-974a8e3782e5,Running,790.999999544384,102,3566.0,11020.0,3.088888888888889
2017-02-23 18:39:15,97b7530f-7db6-421e-95a4-6055cf6834df,Running,617.999999644032,85,3057.0,8800.0,2.8805555555555555
2017-02-21 19:16:07,37a6dd24-87a6-4ec7-8df2-bed0faddf4c8,Running,521.999999699328,82,2480.0,7400.0,2.986111111111111
2017-02-13 18:42:55,a95379e3-8981-4309-9c3e-3f4397bf432d,Running,691.9999996014079,78,3379.0,9780.0,2.8944444444444444
2017-02-06 18:45:01,a3b20f84-2a41-4d82-ba64-ba5ae415d5a1,Running,716.999999587008,76,3503.0,9790.0,2.7972222222222225
2017-01-30 18:43:33,dcf483e9-421e-42b6-b116-884c794f5366,Running,496.999999713728,66,2248.0,6980.0,3.1055555555555556
2017-01-26 18:47:36,d61065b6-749d-46bf-a680-6ebb7067620c,Running,585.999999662464,74,2670.0,8300.0,3.1083333333333334
2017-01-23 18:39:10,9a35d26a-e947-4374-b411-a28c07f0b153,Running,849.9999995103999,100,4027.0,11980.0,2.9444444444444446
2017-01-19 18:10:00,e3e565d9-b63b-4a12-9704-b3daef064784,Running,517.999999701632,51,2496.0,7430.0,2.9777777777777783
2017-01-16 18:04:30,5847c202-4eb8-4416-b641-530232791775,Running,849.9999995103999,99,4088.0,12150.0,2.9555555555555557
2017-01-12 18:19:37,1a0c5ffe-b6ef-4c05-8126-acd92ab1b5a6,Running,859.9999995046401,100,4088.0,12000.0,2.9361111111111113
2017-01-05 18:15:10,e6f58116-e2c7-4f3a-848e-0529635f8bb3,Running,492.9999997160321,68,2382.0,7020.0,2.9472222222222224
2017-01-03 18:26:07,2e8b8cba-c1b5-4837-a124-9b8a30cc5ff9,Running,699.9999995968,93,3447.0,10050.0,2.913888888888889
2016-12-29 19:08:37,85115e40-2460-4043-ab77-9c48ad4e1aa3,Running,490.999999717184,67,2388.0,7000.0,2.930555555555556
2016-12-26 18:37:08,8f84f8fd-d26f-46d9-91bc-9ee4ddb6b2a8,Running,478.999999724096,67,2382.0,6920.0,2.9027777777777777
2016-12-22 18:43:38,94105764-bf26-4123-b199-f4efef9c9959,Running,481.999999722368,64,2308.0,6900.0,2.988888888888889
2016-12-15 18:53:07,ad7aec27-c204-403a-aa08-5f4068d5b239,Running,486.999999719488,67,2264.0,6850.0,3.027777777777778
2016-12-06 18:36:37,159d92f4-c96b-43ea-88a3-8f1060d170ed,Running,499.999999712,49,2494.0,6990.0,2.8000000000000003
2016-12-01 18:39:39,5671ace7-1b97-4466-b4a3-e89a40588690,Running,478.999999724096,66,2373.0,6960.0,2.9333333333333336
2016-11-28 18:46:07,f603036c-01a9-40dd-ae80-101e70056810,Running,708.9999995916161,95,3461.0,10130.0,2.9277777777777776
2016-11-24 18:50:24,1bfdff30-6f7f-4428-9316-3b6289bd57f3,Running,470.999999728704,65,2161.0,6730.0,3.1138888888888894
2016-11-21 18:57:32,dcb51374-c574-4fac-8f30-d2f2080368eb,Running,703.999999594496,96,3405.0,10050.0,2.952777777777778
2016-11-17 18:52:21,56571fdf-a69d-4662-87f2-0a0cc0621d4e,Running,493.999999715456,67,2432.0,6950.0,2.8555555555555556
2016-11-15 18:27:55,89e8ac21-0c79-4251-9d0b-ddef7c7cb0f3,Running,491.999999716608,66,2444.0,6940.0,2.838888888888889
2016-11-10 18:31:03,e29a6eb4-cd05-4dab-ac97-39ee3ecf0555,Running,483.999999721216,67,2403.0,6830.0,2.838888888888889
2016-11-03 18:17:35,912e75d6-3060-44c9-b67a-b2510b1fad32,Running,482.999999721792,64,2278.0,6770.0,2.9722222222222223
2016-10-31 19:34:32,86ea4944-dc1b-4cc9-8e20-eb3a0267e3ff,Running,700.999999596224,109,3396.0,10150.0,2.988888888888889
2016-10-27 19:17:55,f7222eab-f4cf-4f15-ab3e-fb6a723b1294,Running,477.999999724672,75,2097.0,6840.0,3.263888888888889
2016-10-24 18:38:31,7d043cea-6c58-4e18-8d31-6ac3f1deb2a8,Running,703.999999594496,92,3505.0,10150.0,2.8944444444444444
2016-10-20 18:57:48,772cc020-ef53-429b-9ae7-43e8cc474d86,Running,715.999999587584,89,3385.0,10190.0,3.0083333333333333
2016-10-17 18:39:56,605ee6a1-3eba-4b09-8528-66f0a34368d5,Running,712.999999589312,92,3356.0,10020.0,2.986111111111111
2016-10-15 17:14:34,467ce511-b823-4bf8-a6b8-3de45da696b9,Running,942.999999456832,182,4454.0,13490.0,3.030555555555556
2016-10-12 17:50:31,0762a080-72c1-4316-9af3-520de54776dd,Running,700.0,57,3132.0,9770.0,3.116666666666667
2016-10-03 11:47:16,d7f518d9-57aa-4c3f-b5d1-a3f758155737,Cycling,606.0,301,4332.0,23620.0,5.416666666666667
2016-10-02 16:36:05,f9df1129-32bf-4ff8-93fa-8e2617617c37,Running,945.999999455104,184,4332.0,13430.0,3.0944444444444446
2016-09-27 18:11:27,e47410e1-1a6c-428f-a03d-7f5c86a1e6e7,Running,496.0,49,1967.0,6880.0,3.4972222222222222
2016-09-22 18:52:22,1454fad1-9940-448a-82fb-8ae9f3bf05e5,Running,493.999999715456,63,2234.0,6960.0,3.116666666666667
2016-09-20 18:42:40,b6743512-8841-4278-9f54-8028ca96eae6,Running,712.999999589312,89,3201.0,10030.0,3.1333333333333333
2016-09-15 18:38:53,27a3ae81-deee-44f8-97ce-da1ed9d11ab6,Running,673.9999996117759,91,2875.0,10000.0,3.477777777777778
2016-09-12 18:23:04,76fd4f11-78e0-4c31-a25f-4933c9163901,Running,916.999999471808,116,4210.0,13080.0,3.088888888888889
2016-09-10 17:13:51,be77ab12-11b2-4604-828d-6ac7ee0b6c50,Cycling,328.0,163,1967.0,13110.0,6.663888888888889
2016-09-08 18:19:56,8a409a09-8312-448c-b513-ea63a18cbca1,Running,905.999999478144,110,3844.0,13120.0,3.3805555555555555
2016-09-04 17:08:28,cc9e2d95-fc5d-4633-9801-a6a92df8eebe,Cycling,342.0,184,2443.0,13640.0,5.580555555555556
2016-09-03 17:28:11,9697ecb1-cfe8-454c-86c6-1def815159b2,Running,948.999999453376,184,4637.0,13500.0,2.8944444444444444
2016-08-31 18:33:50,d2e170c7-70e0-430c-ad0a-185fc87a4dae,Running,898.999999482176,107,3844.0,13060.0,3.394444444444445
2016-08-28 18:00:16,3054ec70-ce18-45a0-aaa3-badaa9d89711,Running,834.9999995190401,172,4027.0,12050.0,2.988888888888889
2016-08-27 17:08:38,e3fc3373-0a83-4dba-8042-7eca0b3cf676,Cycling,623.0,307,4088.0,24670.0,5.969444444444444
2016-08-24 17:26:00,81b6ef5d-8f11-4c2f-966d-d253706aa921,Running,897.9999994827521,181,4271.0,13250.0,3.0694444444444446
2016-08-22 18:14:48,ee6099f2-aa7e-4607-9934-829a12fd5224,Running,716.0,58,3080.0,10060.0,3.2666666666666666
2016-08-19 16:57:41,454b61da-b805-4a17-9a46-940c3607e8ee,Running,904.99999947872,185,4454.0,13430.0,3.0083333333333333
2016-08-17 17:17:09,af644132-ea3f-4770-a8d3-703c17d6c858,Cycling,533.0,316,4942.0,21820.0,4.405555555555556
2016-08-01 17:40:40,513f1448-16e1-4cc3-8f1f-71c02809d8c2,Running,997.999999425152,213,4820.0,14320.0,2.9611111111111112
2016-07-18 18:28:47,d937fa3d-ace4-4083-abaa-ce450bf92ea9,Running,682.999999606592,92,3049.0,10010.0,3.2833333333333337
2016-07-12 18:20:28,d1b3933f-2b58-4158-b2e7-b2385682da43,Running,696.0,52,3045.0,9710.0,3.1861111111111113
2016-07-04 18:24:46,b8d35359-b7ee-4270-bd59-0b108b86bafd,Running,1139.99999934336,146,5308.0,16460.0,3.0861111111111112
2016-07-02 17:52:07,04a5969e-40b1-45de-a8f4-79745c556c59,Running,933.999999462016,189,4698.0,13550.0,2.8944444444444444
2016-06-27 18:40:44,20ef6c75-37e5-48cc-ab4a-934347347632,Running,903.999999479296,180,4332.0,13280.0,3.0444444444444447
2016-06-25 17:02:44,c306e91d-482d-40b4-96f6-c6f2117eaab4,Running,917.999999471232,226,4576.0,13220.0,2.875
2016-06-23 18:29:58,7bedfff1-e270-4ca6-9b34-61f3fc016487,Running,719.0,60,3095.0,10020.0,3.236111111111111
2016-06-14 18:40:51,86208dc5-01ec-4383-8284-89afd17ff565,Running,904.99999947872,119,4088.0,13210.0,3.2111111111111112
2016-06-05 17:10:29,adb38948-116e-4000-9598-877aa7b718da,Running,1073.99999938138,254,5430.0,15520.0,2.8555555555555556
2016-06-02 18:43:44,7d056151-5c10-44c8-ad58-43bf7e1e6fe6,Running,910.999999475264,117,4149.0,13240.0,3.1944444444444446
2016-05-30 18:51:32,69ba4306-6177-4ef1-b3c6-cea3e9700116,Running,685.999999604864,91,3122.0,10030.0,3.213888888888889
2016-05-26 18:30:37,e6a0852a-16ff-446c-b522-21c9489c07b7,Running,892.999999485632,145,4088.0,12880.0,3.144444444444445
2016-05-23 18:26:58,bf304a1c-a01b-4ceb-9559-bde274612398,Running,720.0,64,3085.0,10020.0,3.2444444444444445
2016-05-19 18:54:07,fc27d591-a215-4c9b-b30d-22dc38a9293e,Running,701.9999995956481,99,3300.0,10140.0,3.0722222222222224
2016-05-09 16:46:49,6efb6c1b-fcb4-449c-be9b-6c70d6d0acab,Running,920.999999469504,181,4515.0,13500.0,2.9972222222222222
2016-04-24 17:16:01,3c60a550-2443-4986-b9b8-666f29b2b367,Running,902.999999479872,185,4576.0,12850.0,2.783333333333333
2016-04-17 16:20:56,5fe9a80e-d885-426e-816e-2d7aca6844ec,Running,927.999999465472,180,4637.0,13470.0,2.8805555555555555
2016-04-11 18:25:11,f5856eb2-a21b-4796-9b0c-b581bfb0f777,Running,615.9999996451841,83,2820.0,8880.0,3.15
2016-04-07 18:50:38,f260fb9a-5017-40e2-af1d-77ff22e3c5f6,Running,684.99999960544,92,3075.0,10000.0,3.252777777777778
2016-04-03 16:27:37,30839785-9325-435a-97d2-219039984113,Running,705.999999593344,143,3539.0,10300.0,2.9083333333333337
2016-03-28 16:12:15,bd2a55a4-2553-4007-808d-5456de4482c6,Running,1084.99999937504,258,5552.0,15620.0,2.816666666666667
2016-03-21 18:51:35,63c7f05c-2285-489e-ae1e-af1b7ecce87c,Running,625.999999639424,85,3085.0,9100.0,2.9499999999999997
2016-03-13 13:02:38,c1105c54-b975-486c-8606-9e0a80994541,Running,511.999999705088,111,2606.0,7190.0,2.7583333333333333
2016-03-07 13:23:44,375d191f-2d90-4781-8223-a2a8146ca445,Running,995.0,141,4820.0,13690.0,2.827777777777778
2016-02-28 13:37:46,37908beb-2ae0-41e7-9554-3662d9beefec,Running,941.999999457408,183,4759.0,13480.0,2.827777777777778
2016-02-21 15:48:48,ba4a23cd-25ef-43ea-84c4-fb8c3c1e3b57,Running,997.0,144,4942.0,13690.0,2.769444444444445
2016-02-18 19:09:01,6b831381-6425-4a66-ada4-7f57f013ea05,Running,472.9999997275521,67,2365.0,6920.0,2.9277777777777776
2016-02-15 18:37:04,c41ee42c-c911-4367-8594-e86cffbec427,Running,702.999999595072,92,3600.0,10020.0,2.7777777777777777
2016-02-08 18:09:03,09404e9f-88f0-4a78-8df8-e7a51c5246e0,Running,488.999999718336,68,2478.0,6810.0,2.7472222222222227
2016-02-04 18:46:32,baed89f0-0754-4b54-a5cb-7959c39459c0,Running,477.999999724672,67,2402.0,6840.0,2.8472222222222223
2016-01-14 18:40:08,f5f333b1-3453-4555-aafd-d19923d0b84e,Running,486.999999719488,70,2478.0,7000.0,2.825
2015-12-27 13:14:59,7c59b1da-9dfd-43df-8170-a0bc4ad2bdb6,Running,921.999999468928,185,4576.0,13530.0,2.9361111111111113
2015-12-23 18:45:03,49f7059a-97c3-499e-9f42-85df1506aa90,Running,692.9999996008321,95,3542.0,10120.0,2.8583333333333334
